, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Values, Organizational Success Factors, Organizational Culture, Data-Driven Decision Making, Coding Practices, Version Control, Chef Local Development, Continuous Integration, Chef Code Deployment, Application Deployment, Continuous Delivery, Virtualization as a Service, Full-Stack Automation, Compliance Automation, Sustaining Operations Culture
_Current, 2, 2, 1.66666666666667, 1.71428571428571, 0.428571428571429, 1.77777777777778, 2, 1.71428571428571, 1.66666666666667, 1.5, 2, 1.75, 1, 0
