Values, Organizational Success Factors, Organizational Culture, Data-Driven Decision Making, Coding Practices, Version Control, Chef Local Development, Continuous Integration, Chef Code Deployment, Application Deployment, Continuous Delivery, Virtualization as a Service, Full-Stack Automation, Compliance Automation, Sustaining Operations Culture
_Current, 2, 2, 1.66666666666667, 1.71428571428571, 0.428571428571429, 1.77777777777778, 2, 1.71428571428571, 1.66666666666667, 1.5, 2, 1.75, 1, 0
_Target, 3.33333333333333, 3, 2.83333333333333, 4, 2.57142857142857, 3.11111111111111, 3.25, 3, 2.5, 1.5, 2.625, 2, 2, 0.333333333333333
